Gremio/empresa interesada,Pais,Producto,Tipo,Ingreso de Solicitud, Inicio,Fecha ultima gestión,Fecha apertura,Estado,Observaciones
,Turquía,Miel de abejas,,,1/02/2013,1/03/2016,,Pendiente SAG,"Se envía solicitud de apertura el 11.02.2013. El 30 de junio de 2014, se envía carta SAG N°3623 al SVO de Turquía solicitando los requisitos de exportación para estos productos.
En reunión del III Comité conjunto Chile-Turquía, del TLC, realizada en Abril de 2015 en Turquía, la Autoridad Turca entrego un modelo de CZE para miel.
"
,Turquía ,Bovinos vivos,Apertura,,,,Dec-15,Abierto,
ASPROCER,Ucrania,Carne de cerdos,Apertura,CCI 2015-2016,,2/12/2016,,Pendiente respuesta Ucrania. Enviado recordatorio a AC en Argentina,
FAENACAR ,Ucrania,Carne ovina y carne bovina,Apertura,CCI 2015-2016,,02-012-2016,,Pendiente respuesta Ucrania. Enviado recordatorio a AC en Argentina,
,UE,Semen equino,Apertura,Privado,1/05/2016,7/05/2016,,Pendiente Chile,Chile está autorizado para exportar semen equino a los Estados Miembros pero no se cuenta con centros de recogida autorizados a exportar. Se solicit a la UE informe el procedimiento y requisitos que deben cumplir los centros de recogida de semen equino para poder ser autorizados a exportar.
,Cabo Verde,Carne de aves y cerdos,Apertura,,1/01/2015,4/09/2016,,Pendiente Cabo Verde,"En febrero 2016 se auerda CZE y el 06.06.2016 se envía nota SAG N° 3609/2016, a través de la cual se adjunta  certificados sanitarios aprobados y  el listado de establecimientos exportadores, autorizados por SAG para exportar, que están interesados en enviar sus productos a Cabo Verde.
Se informa que la certificación sanitaria es realizada por Médicos Veterinarios Oficiales de nuestro Servicio el Finalizado. Es necesario PZI. Se insiste en respuesta en dic. 2016"
,Egipto,Bovinos engorda,Facilitación,,1/07/2016,,,Pendiente Egipto,"Mercado abierto, acordado los CZE para engorda y faena ene l año 2015. 06.07.2016: En carta SAG N° 4203/2016, el Jefe de la DPP solicita realizar modificaciones menores al certificado para la exportación de bovinos de engorda desde Chile a Egipto tal como se acordó en la 84a Sesión General de Asamblea mundial de la OIE. Se  envía una nueva propuesta de Certificado Zoosanitario de Exportación para este tipo de ganado, con modificaciones. "
FAENACAR ,Mozambique,Carne bovina,Apertura,CCI 2014-2015,1/02/2015,5/04/2016,Apr-16,Detenido sin respuesta,"Se envia carta, ampliando a carne ovina debido a la no respuesta de carta de 2015. carta SAG N° 2110/2016"
INTECAR,Mozambique,Carne ovina,Apertura,CCI 2015-2016,1/04/2016,5/04/2016,Apr-16,Detenido sin respuesta,Carta N° 882/2015. Se envia nueva carta ampliando solicitd a carne ovina
,Nigeria,Carne de aves,Apertura,CCI 2015-2016,1/09/2015,,Apr-16,"Detenido, sin respuesta","Se envia carta 5323/015, en septiembre de 2015. A la fecha sin respuesta. Se ha insistido en una respuesta en Durante la XXIV Comisión de Libre Comercio Protocolo Bilateral Chile-Nicaragua (diciembre 2015).."
,República de Mauricio,"Carne de ave,porcina y ovina",Apertura,Solicitud DPP,1/02/2017,3/03/2017,,Pendiente Rep. De Mauricio,"8 de febrero 2017 a través de Carta 940/2017, se envía carta indicando interés y solicitando requisitos y procedimientos. En marzo se reenvia carta. "
,Sudáfrica,Carne ovina y bovina,Apertura,,1/03/2016,28/11/2016,,Pendiente SAG,"28.11.2016: La Embajada indica que para la apertura de carnes rojas (bovina y ovina) Sudáfrica deberá evaluar la condición sanitaria de Chile e acuerdo a lo informado en página de OIE  e información enviada por SAG, luego enviaría un cuestionario. Posterior a esto realizará visita inspectiva  o aprobación de mataderos. La AC informa que enviara esta información vía carta. "
,Sudáfrica,Equinos vivos,Apertura,,1/08/2016,1/10/2016,,Pendiente SAG,Sudáfrica informa que se requiere enviar infomaion para evaluar pais.
,Sudáfrica,"Tripas de cerdo, saladas y sin sal ",Apertura,,1/11/2016,22/12/2016,,Pendiente Sudafrica. ,"Se informa via correo interes a AC para que gestione requisitos.22.12.2016: A través de mail se insiste sobre este tema a la Embajada.

"
,Argentina,Carne ovina,Apertura,,00-01-2011 ,1/05/2014,,Pendiente SAG. ,"Desde el 2011 se ésta intentando acordar un CZE. el 2013, SENASA envió propuesta de certificado para el ingreso de carne ovina con y sin hueso. Es importante considerar, que a pesar del rechazo de Argentina al reconocimiento de Chile como país libre de prurigo lumbar, SENASA reconoce como libres las regiones XI Aysén y XII Magallanes, el 2013 a través de la nota CRI N° 259/2013 SENASA envió propuesta de certificado para el ingreso de carne ovina con y sin hueso. Es necesario un análisis respecto a seguir insistiendo en el reconocimiento como país libre de Prurigo lumbar."
,Argentina, Reconocimiento Chile país libre de prurigo lumbar (carne ovina),Facilitación ,,año 2015,22/04/2015,Nov-15,Detenido. ,"SENASA reconoce como libres las regiones XI Aysén y XII Magallanes(nota CRI N° 259/2013), ambas regiones representan más  del 65 %  del ganado ovino chileno.  Es necesario un análisis respecto a seguir persistiendo en el reconocimiento como país libre de Prurigo lumbar.  "
,Argentina,Carne de cerdo,Reapertura,,1/01/2013,18/11/2016,,Pendiente Senasa,"Pendiente SENASA.  El mercado argentino se encuentra cerrado para carne fresca de porcino procedente de Chile, como consecuencia del brote de Síndrome reproductivo y respiratorio porcino (PRRS) ocurrido el año 2013. Sólo es posible exportar hacia Argentina carne de cerdo termoprocesada.Este proceso se ha visto detenido debido a los criterios establecidos para PRRS como requisitos de importación. SAG a través de la carta N°6950/2016, donde responde los comentarios enviados por SENASA a la propuesta de CVI, y se envía los procedimientos de trazabilidad que actualmente posee las plantas autorizadas o en proceso de autorización.
Hasta la fecha es un tema que tiene una alta prioridad y urgencia para Chile.
"
,Argentina,Carne mecánicamente  recuperada de ave de corral,Apertura,,año 2014,3/02/2014,Feb-14,Finalizado. ,Los establecimientos deben ser visitados para obtener su habilitación.
,Argentina,"Pizzas con y sin ingredientes cárnicos , y cecinas",Apertura,,22/04/2016,08.08.2016,,Pendiente SAG,08.08.16 A través de Nota CRI N° 2831/2016 SENASA solicita informacion adicional
ASPROCER,Argentina,Hamburguesas de bovinos con materia prima tercer pais,Apertura,,24/08/2016,10/02/2017,,Pendiente SENASA,"Sag envia propuesta de  CZE  (carta SAG N°6313), 10.02.17reitera carta "
INTECAR,Argentina,Carne Bovina y subproductos de bovinos,Apertura,,24/08/2016,28/03/2017,,Pendiente SENASA,"Pendiente SENASA, 10.02.17 en carta SAG N°1026/2017 se envía para la aprobación de SENASA una nueva propuesta al modelo de certificado. Solicita respuesta  respecto a la propuesta  de modelo de certificado para la exportación de hamburguesas  elaboradas con materia prima importada, (carta SAG N°6313). se reitera solicitud de respuesta 28.03.2017"
,Argentina,caprinos de engorde y reproducción,apertura,,26/01/2016,9/01/2017,,Pendiente SAG,"SAG envía propuesta de CZE , solicitando considerar las pruebas serológicas de ELISA o Fijación del Complemento (FC) para la detección de Agalaxia Contagiosa (Mycoplasma agalactiae), SENASA  reitera señalando que la prueba de Elisa y FC no ofrecen garantías suficientes para determinar la ausencia de infección, por lo tanto no debe ser incorporadas al modelo de CZE. Solicita bibliografía científica disponible"
,Argentina,pollitos hasta 72 horas ,Apertura,SENASA,10/03/2016,10/03/2016,,Pendiente SAG,"10.03.16 En nota CRI N°941/2016 de SENASA Argentina, señala el interés de importar pollitos bebes, adjunta requisitos y solicita propuesta de certificado"
PIC Andina,Bolivia,Semen porcino fresco,Apertura,Privados,1/06/2015,24/07/2015,Jul-15,"Finalizado, no abierto. ","De acuerdo a la RESOLUCION 1183 Norma Sanitaria Andina para el comercio y la movilizacion intrasubregional y con terceros paises de porcinos domesticos y sus productos, en el articulo 53 prohibe la importacion de semen fresco"
,Bolivia,Huevos frescos,Apertura,,mar-2014,16/07/2014,,Pendiente SAG,"En marzo de 2014 se envía carta a Bolivia solicitando los requisitos para exportar huevos fértiles.
 16.07.14 Bolivia envía propuesta de requisitos sanitarios.
"
,Colombia,Abejas ,Apertura,Privados,3/10/2013,22/07/2016,May-16,Finalizado,"El 29 de mayo 2016 mediante Oficio Nro. 20162105941, se informa que se aprueba sin modificaciones propuesta de CZE en las próximas semanas se comunicara la propuesta de requisitos.  Habilitación de establecimientos: Se debe presentar “Formulario de evaluación de establecimiento”  y cancelar una tarifa para que ICA curse la evaluación. Posteriormente ICA podría indicar que es necesaria una visita"
FAENACAR ,Colombia,Cueros ovinos salados,Apertura,Privados,11/05/2015,14/08/2015,May-15,"Finalizado, pendiente empresas",26.05.2015: se indica que solo se debe realizar una solicitud de importacion acompanada de  monografia avalada por SAG
,Colombia,Cueros bovinos salados,Apertura,privados,11/05/2015,26/05/2015,,Pendiente Colombia,"El 26 de mayo se recibe Oficio ICA N° 20152106030, indicando que la solicitud referida a cuero bovino está en análisis del área pertinente. "
,Colombia,"Subproductos de ave, consumo animal:harina de vísceras de ave, harina de plumas",Apertura,Privados,1/06/2016,31/08/2016,Aug-16,Finalizado,"FINALIZADO. FALTA PREPARACION FORMULARIO POR PARTE DE EMPRESAS. El 31 de agosto 2016, se recibe Nota ICA  indicando la aceptación de la propuesta de Certificado para la exportación de harina de plumas y harina de vísceras. Se permite la exportación previa realiazción de visita."
,Colombia,Harina de carne y hueso,Apertura,,22/02/2017,22/02/2017,,Pendiente colombia,Se solicita a ICA las exigencias y mecanismo de  habilitación para establecimientos que deseen exportar este producto
,Ecuador,Bovinos vivos para reproducción,Apertura,Privados/AGROCALIDAD,1/10/2014,12/12/2016,Feb-17,Finalizado,A traves de carta N° 807/2017 se aceptan procolo sanitario . Pendiente  interesados Anexo 2
,Ecuador,Nutrimax 14,Apertura,Privados,1/01/2016,,,Pendiente Ecuador,
,Ecuador,Semen bovino,Apertura,Agrocalidad,1/08/2015,27/03/2017,,Pendiente SAG, AGROCALIDAD solicita el envío de propuesta de CZE para este producto y el envío del Anexo 2 de los predios interesados
,Ecuador,Carne de aves,Reapertura,,,26.01.2017,,En proceso,"En Res. 26.01.2017 se prohibe temporalrnente el ingreso a Ecuador de aves vivas , pollitos de un día,  material genetico avícola (pollitos de un día y huevos fertiles) y productos de origen aviar procedentes de la Republica de Chile"
,Ecuador,Pizzas (con y sin ingredientes cárnicos de jamón-jamón serrano-pepperoni-salame),Apertura,,1/08/2016,1/08/2016,,Pendiente Ecuador,"A través de carta 4679/2016 se informa interés de Chile de exportar pizzas, se solicita las exigencias sanitarias y procedimientos a cumplir para la exportación de este producto"
,Ecuador,Abejas reinas ,Apertura,,16/12/2016,16/12/2016,,Pendiente SAG,Se recibe interés de Ecuador en importar abejas reinas procedentes de Chile.
Colmenas,Paraguay ,Bovinos vivos para reproducción,Apertura,,6/07/1905,1/07/2015,2015,Finalizado,CZE acordado
Desert Bioenergy,Paraguay ,Carne deshuesada de cerdo,Apertura,,1/07/2014,31/03/2017,,Pendiente Paraguay,"Pendiente visita de habilitación, fecha tentativa a partir del 8 de mayo "
,Paraguay ,Carne y subproductos aves,Apertura,,28/09/2016,31/03/2017,Nov-16,Pendiente SENACSA,"CZE acordado. Pendiente visita de habilitación


"
Mar Fusión S.A,Paraguay ,Carne y subproductos ovinos,Apertura,,,31/03/2017,,Pendiente Paraguay,"Visita de habilitación realizada desde el 17 de abril, pendiente informe "
PIC Andina,Paraguay ,Huevos fertiles,Apertura,,1/03/2014,13/11/2015,,Pendiente SAG,13.11.15 SENACSA (UAI N° 594) envía información sobre requisitos y procedimiento de autorización.
Porcinos,Paraguay ,Tripas saladas  y sin sal de cerdo y bovino,Apertura,,5/12/2016,5/04/2017,,Pendiente Paraguay,SAG informa el interés y solicita los requisitos sanitarios y procedimientos que se  deben cumplir para la exportación de exportar tripas saladas y sin sal de cerdo y bovino. 05.04.17 vía mail se solicita incluir a la empresa Procesadora Insuban Ltda LEEP N°13-62 en la próxima vista de habilitación
,Paraguay ,Pizzas con ingredientes carnicos y cecinas ,Apertura,,1/07/2016,22/07/2016,,Pendiente Paraguay,22.07.16 En carta N°4538/2016 se solicita requisitos sanitarios y procedimientos que se deben cumplir para la exportación de estos productos hacia Paraguay.
,Perú,Abejas,Apertura,Privados,1/06/2014,29/07/2015,,Pendiente Perú,En julio 2015 se envia cuestinoario para que SENASA evalue la exigencias de ingreso.
,Perú,Alimento consumo animal Nannochloropsis sp,Apertura,Privados,11/01/2016,11/01/2016,May-16,"Finalizado, Sernapeca elaborara CZE","El 16 de mayo (Carta SAG N° 3091/2016), se informa que se enviara propuesta de CZE.SERNAPESCA elaborará propuesta de CZE."
,Perú,Nutrimax 14,Apertura,Privados,11/01/2016,16/05/2016,May-16,"Finalizado, Sernapeca elaborara CZE","El 27 de mayo 2016, SANIPES Perú informa que el producto no requiere registro sanitario para su comercialización considerando que es utilizado como materia prima, pero es necesario validar un Certificado Zoosanitario. SERNAPESCA elaborará propuesta de CZE"
,Perú,"Genetica porcina (semen, animales para reproduccción)",Apertura,Privados,21/10/2014,1/06/2016,,Pendiente Perú,El 1 de junio (Carta SAG N° 3131/2016) se remite cuestionario pertinente para que se establezcan las condiciones de importación al Perú de estos productos.
,Perú,Plasma porcino,Apertura,Privados,5/09/2015,5/09/2015,,Pendiente Perú,En septiembre 2015 se solicitan exigencias
,Perú,Harina subproductos aves y harina de plumas,Apertura,,1/05/2016,4/08/2016,,pendiente SAG," CZE acordado para harina de subproductos de ave y harina de plumas, falta enviar  información para aceite de aves."
,Perú,Ovinos vivos,Reapertura,SAG,1/02/2015,3/05/2016,,Pendiente SAG,"En reunión bilateral del 03-05-2016, SAG solicita se reconozca a Chile como país libre de esta enfermedad. SENASA solicita dar respuesta a Carta SENASA-0864-2014-MINAGRI"
,Perú,Pizzas con ingredientes carnicos  ,Apertura,Privado,1/08/2016,1/08/2016,,Pendiente Perú,"A través de carta SAG N° 4678/2016, se consultan las exigencias para este producto."
,Colombia,Aceite de ave,Apertura,Privados,1/06/2016,30/08/2016,,Pendiente SAG,"El 31 de agosto 2016, se recibe Nota ICA N° 20162116114 indicando las exigencias a cumplir. Se debe analizar y responder si es posible de cumplir."
,Ecuador,Ovinos vivos,Apertura,,1/06/2015,21/12/2015,Jan-16,Finalizado,"El 04 de enero de 2016 (Carta 1/2016) se solicita última modificación al CZE para este producto (modificación prueba diagnóstica para Agalaxia Contagiosa). Esta es aprobada a través de Oficio Nro. MAGAP-DE/AGROCALIDAD-2016-000005-OF, acordándose el CZE. Todo establecimiento interesado debe enviar Anexo 2. Actualmete solo 1 predio autorizado."
,Ecuador,Cueros bovinos ,Apertura,,1/03/2015,,Apr-15,Finalizado,"El 19 de abril de 2015, el Dr. Julio Mejia de AGROCALIDAD envía protocolo final para este producto. El 24 de abril, confirma mediante mail la validez del CZE."
,Perú,Hamburguesas y nuggets de pollo ,Apertura,,8/06/2016,31/08/2016,,Pendiene Peru,"SAG  consulta respecto a Nuggets considerando que no es un producto listo para consumo, por lo tanto, no cumple las exigencias de temperatura señaladas en Nota previa de SENASA. Adicionalmente, se solicitan las condiciones para exportar carne de pollo enlatada, donde la materia prima proviene de Brasil"
,Venezuela,"Harina de vísceras de ave, Harina de plumas y Aceite de ave para consumo animal",Apertura,,1/08/2014,4/08/2014,,Pendiente Venezuela,Mediante carta N° 4572 de fecha 04 de agosto de 2014 se solicitan los requisitos para ingresar estos productos a Venezuela y se adjunta propuesta de CZE.
,Venezuela,Alimentos para mascotas (perros y gatos),Apertura,,1/09/2014,4/08/2014,,Pendiente Venezuela,Mediante carta N° 4572 de fecha 04 de agosto de 2014 se solicitan los requisitos para ingresar estos productos a Venezuela y se adjunta propuesta de CZE.
,Uruguay,Carne de cerdo con hueso,apertura,,18/03/2013,4/02/2015,,Pendiente MGAP,"Desde marzo del 2013. SAG ha consultado en varias ocasiones la sobre el  estado de avance o respuesta a los trámites realizados.
- Además se ha reiterado la consulta de punto de contacto, hasta la fecha sin respuesta."
,Uruguay,Carne de aves,Reapertura,,30/12/2016,11/01/2017,,Pendiente  MGAP Uruguay,"MERCADO CERRADO. Debido a la detección de un caso de Influenza aviar H7 detectado el 30 de diciembre del 2016, el MGAP suspende todas las autorizaciones de importación  de aves vivas ornamnetales o aves de un día, huevos fértiles para incubación y productos avícolas (carnes frescas o huevos para consumo).
solicita reevaluar la medida de suspensión implementada por le DGSG, considerando la baja patogenicidad de del virus detectado en chile. Se adjunta informe epidemiológico y zonificación definida como área de exclusión de exportaciones a su país."
,Uruguay,pizzas con y sin ingredientes activos,Apertura,,27/07/2016,4/08/2016,,Pendiente SAG,Uruguay responde a través de carta  indicando que no existe antecedentes para el ingreso de este tipo de producto. Envía información  para iniciar el proceso de importación.
,Uruguay,nugget de pollo con materia prima procedente de Brasil,Apertura,,23/11/2016,23/11/2016,,Pendiente  MGAP Uruguay," SAG informa el interés del establecimiento San vicente  LEEPP N°06-08, habilitado para exportar  a Uruguay Nuggets y croquetas de pollo, tiene interés de exportar Nuggets y croquetas  elaborados con materia proveniente de Brasil de establecimientos habilitados para exportar a nuestro país y a Uruguay"
